ts,open,high,low,close,vol
1782223500000,62529.1,62555.1,62396.2,62539.7,490.431
1782223800000,62539.7,62734.8,62451.6,62702.5,1404.337
1782224100000,62702.5,62794.5,62626.8,62783.3,1953.008
1782224400000,62783.3,62837.1,62536.7,62555.3,1433.911
1782224700000,62555.4,62579.9,62420.4,62547.5,995.955
1782225000000,62547.6,62657.8,62422.2,62559.6,675.484
1782225300000,62559.7,62757.8,62500.1,62532.9,1052.455
1782225600000,62532.9,62591.9,62462.5,62488.2,729.13
1782225900000,62488.3,62557.4,62421.5,62538.5,929.386
1782226200000,62538.5,62581.9,62435.6,62498.5,565.562
1782226500000,62498.5,62562.3,62359.2,62462.8,2060.224
1782226800000,62462.8,62480.3,62378.2,62458.1,1117.834
1782227100000,62458.1,62471.6,62291.9,62324.5,1275.56
1782227400000,62324.5,62355.2,62280.0,62355.2,521.456
1782227700000,62355.1,62355.1,62210.3,62223.4,704.345
1782228000000,62223.4,62286.2,62212.0,62230.2,478.957
1782228300000,62230.2,62291.0,62161.2,62247.5,455.985
1782228600000,62247.4,62448.4,62247.4,62414.5,733.107
1782228900000,62414.5,62466.5,62284.0,62316.6,294.681
1782229200000,62316.6,62323.2,62242.0,62262.3,430.416
1782229500000,62262.3,62298.6,62171.2,62204.6,441.941
1782229800000,62204.6,62346.1,62174.2,62331.7,554.142
1782230100000,62331.8,62457.4,62295.1,62455.8,501.213
1782230400000,62455.9,62519.8,62393.4,62419.3,794.823
1782230700000,62419.3,62718.0,62419.3,62688.2,2496.88
1782231000000,62688.2,62812.2,62661.8,62759.0,2431.202
1782231300000,62758.9,62801.0,62595.0,62649.6,973.099
1782231600000,62649.6,62649.7,62550.0,62572.2,444.002
1782231900000,62572.2,62594.4,62541.1,62557.0,195.648
1782232200000,62557.0,62634.9,62550.0,62596.3,286.544
1782232500000,62596.3,62622.2,62550.0,62575.4,159.828
1782232800000,62575.4,62629.4,62569.3,62595.1,142.65
1782233100000,62595.2,62614.7,62541.2,62544.1,196.077
1782233400000,62544.1,62544.2,62474.5,62482.3,301.286
1782233700000,62482.3,62559.2,62458.4,62522.9,241.023
1782234000000,62522.9,62529.1,62437.6,62460.6,216.012
1782234300000,62460.7,62495.5,62340.0,62424.7,591.553
1782234600000,62424.8,62515.0,62390.0,62401.5,346.216
1782234900000,62401.4,62549.8,62400.0,62547.7,265.642
1782235200000,62547.7,62606.2,62539.4,62581.0,228.183
1782235500000,62581.1,62642.3,62578.1,62616.8,228.742
1782235800000,62616.8,62634.6,62466.6,62583.6,299.643
1782236100000,62583.6,62668.7,62547.1,62569.9,302.441
1782236400000,62569.9,62572.0,62478.4,62500.1,130.993
1782236700000,62500.1,62528.3,62450.7,62451.0,123.519
1782237000000,62451.1,62474.2,62366.0,62366.3,307.287
1782237300000,62366.4,62373.1,62301.7,62330.0,444.514
1782237600000,62330.0,62420.0,62330.0,62360.8,276.033
1782237900000,62360.8,62360.9,62242.2,62285.7,507.947
1782238200000,62285.7,62365.0,62285.6,62340.5,217.805
1782238500000,62340.5,62369.3,62291.6,62344.3,208.11
1782238800000,62344.2,62383.6,62308.8,62348.4,195.112
1782239100000,62348.4,62355.4,62312.0,62322.2,185.819
1782239400000,62322.2,62322.2,62260.9,62274.6,276.097
1782239700000,62274.5,62288.2,62222.0,62236.0,427.592
1782240000000,62236.1,62236.1,62118.4,62125.5,696.091
1782240300000,62125.5,62169.1,62075.6,62137.3,649.217
1782240600000,62137.2,62239.8,62133.9,62225.2,351.078
1782240900000,62225.2,62242.9,62190.4,62215.3,198.597
1782241200000,62215.3,62348.1,62201.3,62344.5,368.664
1782241500000,62344.6,62407.5,62280.0,62319.5,369.893
1782241800000,62319.6,62376.3,62291.0,62343.1,173.527
1782242100000,62343.0,62346.8,62276.4,62278.6,152.692
1782242400000,62278.7,62346.2,62225.0,62294.7,157.661
1782242700000,62294.8,62421.5,62277.2,62417.2,219.597
1782243000000,62417.2,62467.2,62367.7,62380.1,323.727
1782243300000,62380.1,62405.4,62302.0,62332.2,136.627
1782243600000,62332.2,62345.1,62272.9,62272.9,156.677
1782243900000,62273.0,62291.0,62250.0,62278.5,134.889
1782244200000,62278.4,62399.2,62272.0,62380.7,324.589
1782244500000,62380.7,62400.0,62322.8,62365.7,272.034
1782244800000,62365.7,62518.5,62365.7,62428.4,384.517
1782245100000,62428.5,62484.0,62421.5,62475.0,155.774
1782245400000,62475.1,62481.7,62406.6,62416.0,307.974
1782245700000,62416.1,62452.7,62383.6,62449.2,142.056
1782246000000,62449.2,62466.6,62406.6,62426.4,110.497
1782246300000,62426.4,62495.9,62390.6,62464.5,285.045
1782246600000,62464.5,62473.5,62428.0,62445.5,132.485
1782246900000,62445.5,62464.8,62420.1,62463.7,125.456
1782247200000,62463.7,62463.8,62435.0,62448.7,78.559
1782247500000,62448.7,62450.5,62397.1,62401.1,162.594
