ts,open,high,low,close,vol
1781930700000,63578.2,63590.0,63511.5,63553.9,550.819
1781931600000,63553.9,63894.0,63509.1,63781.0,3502.337
1781932500000,63781.0,63812.7,63601.7,63604.5,1206.698
1781933400000,63604.5,63705.2,63604.5,63609.6,1054.288
1781934300000,63609.6,63685.0,63553.9,63645.5,763.106
1781935200000,63645.4,63692.3,63608.6,63656.7,566.009
1781936100000,63656.7,63724.3,63610.2,63672.2,537.624
1781937000000,63672.3,63723.3,63659.4,63723.1,410.375
1781937900000,63723.1,63730.0,63688.0,63710.0,398.411
1781938800000,63710.1,63710.1,63558.4,63636.4,954.159
1781939700000,63636.5,63763.2,63636.4,63763.0,625.232
1781940600000,63763.1,63774.2,63684.8,63720.5,693.646
1781941500000,63720.4,63742.2,63614.0,63625.0,1260.88
1781942400000,63625.0,63630.0,63434.4,63523.4,1991.37
1781943300000,63523.4,63553.7,63437.0,63450.0,859.402
1781944200000,63450.1,63466.3,63396.8,63422.9,995.263
1781945100000,63422.8,63430.6,63360.0,63390.8,899.071
1781946000000,63390.8,63505.2,63390.3,63488.3,1057.181
1781946900000,63488.2,63565.4,63476.4,63535.5,761.51
1781947800000,63535.5,63686.2,63523.3,63669.9,976.252
1781948700000,63669.9,63760.8,63604.6,63700.8,892.411
1781949600000,63700.8,63747.7,63652.9,63657.4,768.218
1781950500000,63657.4,63693.9,63609.3,63649.3,511.122
1781951400000,63649.2,63670.4,63559.8,63574.6,566.773
1781952300000,63574.5,63650.2,63574.5,63649.7,323.901
1781953200000,63649.6,63685.1,63586.8,63636.7,368.37
1781954100000,63636.7,63718.4,63626.7,63661.7,388.748
1781955000000,63661.7,63708.6,63649.2,63695.0,285.749
1781955900000,63695.0,63770.0,63651.2,63651.3,538.04
1781956800000,63651.4,63756.0,63640.0,63723.3,1012.737
1781957700000,63723.4,63743.8,63670.5,63705.8,416.956
1781958600000,63705.8,63720.5,63546.1,63590.0,729.059
1781959500000,63590.0,63630.2,63497.3,63627.8,959.843
1781960400000,63627.7,63627.8,63555.5,63555.6,443.113
1781961300000,63555.5,63592.1,63242.0,63315.1,3284.687
1781962200000,63315.2,63441.3,63310.1,63422.9,1509.025
1781963100000,63422.8,63467.9,63334.4,63368.0,867.598
1781964000000,63368.0,63388.8,63136.2,63185.1,3074.007
1781964900000,63185.2,63347.4,63185.2,63347.4,931.743
1781965800000,63347.4,63515.0,63306.6,63477.3,1291.803
1781966700000,63477.4,64150.0,63465.2,63929.5,9859.029
1781967600000,63929.4,64023.1,63810.0,63983.5,2290.962
1781968500000,63983.4,64370.9,63932.9,64167.0,6705.527
1781969400000,64167.0,64182.0,64042.1,64086.6,1784.438
1781970300000,64086.6,64178.8,64050.0,64139.5,955.154
