side_bear,box_range_pct,box_len,bars_since_box,wick_atr,pierce_atr,body_atr,atr_pct,vol_surge,ret_5,ret_20,label,symbol,tf,ts
0,0.010248937926811304,51,3,1.0813059033989154,1.8332737030411752,1.2296958855099016,0.002180843416808124,3.3649400985638387,-0.0008022495732931123,-0.007316851666352542,0,BTC/USDT,15m,1780061400000
1,0.00591828942344397,13,1,0.8672566371681595,0.37168141592922377,0.9911504424778714,0.0015353678089078254,1.7118040204607277,0.0,0.0028615032430370224,0,LTC/USDT,15m,1780140600000
0,0.008602561651691756,16,6,0.5463414634146252,0.6146341463414897,0.13658536585368056,0.0027987112276102967,0.521453028222528,0.002490898639586181,-0.004566210045662156,1,LTC/USDT,15m,1780162200000
1,0.012414800389484058,62,1,1.0232558139534669,0.8837209302325335,1.2093023255814,0.002593799010737163,2.7413994276964657,-0.0009642039291309912,-0.001325301204819218,1,SOL/USDT,15m,1780193700000
1,0.013979903888160781,29,1,0.7352941176470679,0.41176470588233294,1.1470588235294008,0.0036820446177171394,1.8749176629389286,0.00021663778162928082,-0.003130735182986011,1,LINK/USDT,15m,1780193700000
1,0.01246910806560331,57,2,0.6930693069307339,0.8316831683168561,1.1782178217821306,0.0032124171053259606,2.3217940501134735,0.0014492753623187582,-0.00244308717379238,0,AVAX/USDT,15m,1780193700000
1,0.016548132525002188,98,1,1.2056644162687342,0.8322081343651998,1.219496130413296,0.002140006385133493,4.169335723204619,-0.0004290152374377687,-0.0011776763804437484,1,ETH/USDT,15m,1780193700000
0,0.01137270550678374,20,1,1.0835913312693333,0.47678018575850184,0.13003095975232962,0.002297722196138726,1.965449376972588,-0.0033746898263028458,-0.004165426956263096,1,DOGE/USDT,15m,1780212600000
0,0.010474631751227505,7,5,0.7201646090535072,0.31687242798351656,0.6337448559670843,0.0037819245793970758,2.4022763422070432,-0.0069241588228929896,-0.0066017316017316086,1,LINK/USDT,15m,1780222500000
0,0.0071138792069024405,25,6,1.3740458015267505,0.5343511450381996,1.4503816793893385,0.001868385771743141,2.104840626318973,-0.0035246297717518305,-0.002702548930359594,0,TRX/USDT,15m,1780308900000
