ts,open,high,low,close,vol
1782228000000,1654.0,1655.99,1652.7,1653.28,9202.987
1782228300000,1653.28,1655.17,1650.82,1653.26,20415.245
1782228600000,1653.26,1660.0,1653.1,1658.62,19911.938
1782228900000,1658.62,1660.23,1654.4,1655.51,8252.63
1782229200000,1655.5,1656.0,1653.01,1655.01,5903.318
1782229500000,1655.0,1655.58,1650.3,1651.54,10920.801
1782229800000,1651.55,1655.38,1650.48,1654.57,6045.707
1782230100000,1654.57,1659.0,1654.0,1658.9,12845.269
1782230400000,1658.9,1660.99,1656.85,1656.87,16066.785
1782230700000,1656.87,1670.56,1656.87,1669.69,64577.795
1782231000000,1669.69,1673.6,1666.14,1667.23,63584.748
1782231300000,1667.23,1668.23,1662.26,1664.26,19481.74
1782231600000,1664.27,1664.27,1661.25,1661.68,6650.795
1782231900000,1661.67,1662.67,1660.4,1661.45,7055.571
1782232200000,1661.44,1662.35,1660.6,1660.7,5598.07
1782232500000,1660.7,1662.09,1659.57,1660.74,6597.403
1782232800000,1660.74,1662.16,1660.65,1661.71,5730.804
1782233100000,1661.7,1662.32,1660.09,1660.28,5306.428
1782233400000,1660.27,1660.28,1657.41,1658.96,9094.877
1782233700000,1658.96,1659.74,1657.87,1658.55,4642.853
1782234000000,1658.55,1658.88,1656.3,1657.64,8560.412
1782234300000,1657.64,1658.98,1653.79,1657.6,15779.687
1782234600000,1657.6,1660.47,1656.43,1657.07,8763.925
1782234900000,1657.07,1659.15,1656.73,1659.15,6752.177
1782235200000,1659.14,1661.55,1659.14,1660.85,6023.902
1782235500000,1660.85,1662.8,1660.77,1662.08,7399.64
1782235800000,1662.08,1662.66,1656.82,1660.99,8560.391
1782236100000,1661.0,1664.21,1660.41,1661.36,6843.3
1782236400000,1661.36,1661.48,1657.71,1658.67,3871.126
1782236700000,1658.66,1659.79,1657.6,1657.93,3253.456
1782237000000,1657.94,1658.69,1654.7,1654.8,6517.853
1782237300000,1654.8,1656.61,1653.57,1656.03,6453.073
1782237600000,1656.03,1659.85,1656.03,1657.87,7329.243
1782237900000,1657.86,1657.86,1654.14,1656.08,6419.701
1782238200000,1656.07,1657.96,1655.76,1657.28,3402.883
1782238500000,1657.28,1657.82,1655.05,1657.77,7589.188
1782238800000,1657.76,1659.32,1657.02,1658.42,5084.521
1782239100000,1658.42,1658.6,1656.12,1656.72,3501.496
1782239400000,1656.72,1656.72,1653.88,1654.34,7098.515
1782239700000,1654.34,1655.27,1652.39,1653.28,11419.099
1782240000000,1653.28,1653.28,1649.15,1650.27,19149.308
1782240300000,1650.26,1652.71,1649.03,1651.97,14909.468
1782240600000,1651.98,1656.29,1651.68,1655.86,9342.723
1782240900000,1655.87,1656.6,1653.89,1654.65,8255.508
1782241200000,1654.65,1659.05,1654.59,1658.86,5446.789
1782241500000,1658.86,1661.2,1656.8,1658.98,8018.304
1782241800000,1658.98,1659.99,1658.21,1659.02,3842.985
1782242100000,1659.02,1659.38,1657.01,1657.14,2841.37
1782242400000,1657.14,1659.54,1655.58,1657.31,5979.193
1782242700000,1657.32,1661.17,1656.53,1661.01,5265.385
1782243000000,1661.01,1662.12,1659.93,1660.39,8307.137
1782243300000,1660.38,1661.43,1657.87,1658.87,5001.146
1782243600000,1658.87,1659.01,1657.39,1657.47,3363.649
